category,item_name,item_description
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|StorageWaterHeaters","SmartTemp 35L","35L smart water heater with mobile app control and energy monitoring."
"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors","UltraGuard Pro","Privacy screen protector with blue light filter."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MiniFoodProcessors&Choppers","QuickChop Elite","500W food processor with dual speed control and safety lock."
"Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters","NetBoost AC","AC1300 USB WiFi adapter with magnetic antenna base."
"Electronics|Accessories|MemoryCards|MicroSD","UltraStore 1TB","1TB microSD card with V30 speed class and A2 app performance."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop","SmartCook Flex","Flexible zone induction cooktop with 15 power levels."
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets","DigitalCanvas Pro","XL graphics tablet with 4K resolution and wireless capability."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SandwichMakers","ToastMaster Deluxe","4-in-1 sandwich maker with removable plates."
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters","ComfortHeat Plus","Ceramic tower heater with remote control and ECO mode."
"Electronics|Mobiles&Accessories|MobileAccessories|Stands","DeskMount Pro","Aluminum phone stand with wireless charging capability."
"Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterFilters&Purifiers","PureFlow Ultra","RO+UV+UF water purifier with mineral cartridge."
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets","OfficeComfort Elite","Ergonomic keyboard and mouse set with palm rest."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|EggBoilers","EggPerfect Pro","Digital egg boiler with steamer function and auto shut-off."
"Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries","UltraLife AAA","Premium AAA alkaline batteries with 12-year shelf life."
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|HandheldVacuums","CarVac Pro","Car vacuum cleaner with LED light and HEPA filter."
"Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles","SeniorPhone Plus","Senior-friendly basic phone with SOS button and charging dock."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|VacuumSealers","VacMaster Pro","Professional vacuum sealer with marinate mode and bag cutter."
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads","SpeedSurface XXL","RGB gaming mouse pad with wireless charging zone."
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods","ThermalDip 2000","2000W immersion heater with thermostat control."
"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear","StudioPro Wireless","Professional studio headphones with aptX HD codec."
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons","PerfectPress Pro","3000W steam iron with digital controls and calc clean."
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks","ProNote Premium","B5 size notebook with numbered pages and index."
"Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables","ThunderBolt 4","Thunderbolt 4 cable with 40Gbps transfer speed."
"Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories","FilterSet Premium","Complete filter set with UV lamp and membrane."
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters","TurboHeat Pro","PTC ceramic fan heater with remote control."
"Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers","GaNPro 100","100W GaN charger with foldable pins and 4 ports."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|Kettle&ToasterSets","MorningStart Combo","Digital kettle and 4-slice toaster set."
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales","KitchenPro Scale","Kitchen scale with nutritional calculator and bowl."
"Computers&Accessories|NetworkingDevices|Routers","HomeNet Pro","WiFi 6 router with parental controls and VPN support."
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters","FlashHeat Plus","4500W instant water heater with digital display."
"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors","CrystalClear Max","Self-healing screen protector with easy applicator."
